10000 29917
Sommets du graphe
62 0.026876 0.709820 sommet62
63 0.937897 0.239911 sommet63
64 0.180896 0.317540 sommet64
65 0.886991 0.652059 sommet65
66 0.150335 0.681346 sommet66
67 0.385815 0.387725 sommet67
68 0.499741 0.147533 sommet68
69 0.587187 0.845576 sommet69
70 0.590109 0.955409 sommet70
71 0.556146 0.148152 sommet71
72 0.983305 0.408767 sommet72
73 0.141820 0.564899 sommet73
74 0.252126 0.488515 sommet74
75 0.464031 0.961095 sommet75
76 0.126031 0.199757 sommet76
77 0.319250 0.629269 sommet77
78 0.126712 0.651254 sommet78
79 0.621634 0.803073 sommet79
80 0.247842 0.476432 sommet80
81 0.389314 0.203250 sommet81
82 0.028375 0.901673 sommet82
83 0.426497 0.142021 sommet83
84 0.947487 0.410313 sommet84
85 0.131189 0.885648 sommet85
86 0.092174 0.162199 sommet86
87 0.071064 0.365339 sommet87
88 0.253057 0.135109 sommet88
89 0.783153 0.455307 sommet89
90 0.349524 0.452300 sommet90
91 0.808945 0.931674 sommet91
92 0.651646 0.215248 sommet92
93 0.679592 0.908922 sommet93
94 0.250126 0.860860 sommet94
95 0.471262 0.505956 sommet95
96 0.600394 0.817561 sommet96
97 0.755844 0.462245 sommet97
98 0.951367 0.632739 sommet98
99 0.439330 0.824697 sommet99
100 0.688981 0.702207 sommet100
101 0.987145 0.954415 sommet101
102 0.851270 0.289316 sommet102
103 0.537426 0.514435 sommet103
104 0.103434 0.414028 sommet104
105 0.576717 0.876566 sommet105
106 0.440039 0.729748 sommet106
107 0.869264 0.715642 sommet107
108 0.800720 0.706535 sommet108
109 0.741716 0.019092 sommet109
110 0.886031 0.524987 sommet110
111 0.463323 0.065194 sommet111
112 0.713422 0.488943 sommet112
113 0.667679 0.682049 sommet113
114 0.199555 0.916634 sommet114
115 0.865883 0.890019 sommet115
116 0.543948 0.139195 sommet116
117 0.450347 0.989362 sommet117
118 0.215532 0.446023 sommet118
119 0.315732 0.514659 sommet119
120 0.881504 0.439726 sommet120
121 0.467532 0.806650 sommet121
122 0.365158 0.211519 sommet122
123 0.999117 0.153604 sommet123
124 0.630488 0.616350 sommet124
125 0.000595 0.000879 sommet125
126 0.773352 0.727335 sommet126
127 0.319178 0.417724 sommet127
128 0.682494 0.680562 sommet128
129 0.205262 0.836420 sommet129
130 0.708921 0.828708 sommet130
131 0.094549 0.081738 sommet131
132 0.764005 0.629572 sommet132
133 0.213852 0.213547 sommet133
134 0.081061 0.388823 sommet134
135 0.952160 0.947545 sommet135
136 0.389854 0.269215 sommet136
137 0.692169 0.284035 sommet137
138 0.776866 0.783865 sommet138
139 0.422460 0.282156 sommet139
140 0.193967 0.011316 sommet140
141 0.191824 0.983236 sommet141
142 0.244054 0.819726 sommet142
143 0.136455 0.398144 sommet143
144 0.601010 0.176880 sommet144
145 0.828355 0.157731 sommet145
146 0.987937 0.257169 sommet146
147 0.233599 0.101637 sommet147
148 0.219411 0.634717 sommet148
149 0.696007 0.794770 sommet149
150 0.696243 0.752940 sommet150
151 0.669521 0.633430 sommet151
152 0.056441 0.598217 sommet152
153 0.227008 0.318778 sommet153
154 0.699834 0.117437 sommet154
155 0.762571 0.526123 sommet155
156 0.553911 0.587989 sommet156
157 0.329666 0.702989 sommet157
158 0.143045 0.161688 sommet158
159 0.485325 0.860226 sommet159
160 0.813266 0.556836 sommet160
161 0.738997 0.316007 sommet161
162 0.135332 0.528548 sommet162
163 0.310739 0.588119 sommet163
164 0.518084 0.430848 sommet164
165 0.258843 0.370226 sommet165
166 0.393018 0.446866 sommet166
167 0.475896 0.387831 sommet167
168 0.279293 0.078263 sommet168
169 0.369742 0.253922 sommet169
170 0.671784 0.676237 sommet170
171 0.513936 0.728608 sommet171
172 0.720768 0.944753 sommet172
173 0.460697 0.940163 sommet173
174 0.321560 0.460434 sommet174
175 0.517145 0.661355 sommet175
176 0.401833 0.605640 sommet176
177 0.986503 0.150394 sommet177
178 0.670098 0.343818 sommet178
179 0.541710 0.522808 sommet179
180 0.829239 0.014951 sommet180
181 0.274210 0.642979 sommet181
182 0.546137 0.917848 sommet182
183 0.266613 0.970087 sommet183
184 0.246733 0.843975 sommet184
185 0.694024 0.455752 sommet185
186 0.817101 0.022084 sommet186
187 0.160749 0.706950 sommet187
188 0.707826 0.436638 sommet188
189 0.582421 0.751710 sommet189
190 0.991533 0.695679 sommet190
191 0.279512 0.753863 sommet191
192 0.171179 0.004254 sommet192
193 0.495691 0.079917 sommet193
194 0.163081 0.903301 sommet194
195 0.782992 0.746679 sommet195
196 0.436426 0.006342 sommet196
197 0.584787 0.518478 sommet197
198 0.066850 0.544023 sommet198
199 0.389731 0.215826 sommet199
200 0.385769 0.626861 sommet200
201 0.659053 0.709320 sommet201
202 0.538661 0.280289 sommet202
203 0.815932 0.371910 sommet203
204 0.686102 0.310169 sommet204
205 0.009348 0.103797 sommet205
206 0.520960 0.775880 sommet206
207 0.220685 0.055279 sommet207
208 0.070635 0.160274 sommet208
209 0.723764 0.297022 sommet209
210 0.050603 0.477804 sommet210
211 0.457162 0.519988 sommet211
212 0.446490 0.150312 sommet212
213 0.285942 0.833682 sommet213
214 0.695637 0.577776 sommet214
215 0.681164 0.331175 sommet215
216 0.057475 0.986883 sommet216
217 0.542393 0.001657 sommet217
218 0.856193 0.029355 sommet218
219 0.377550 0.489652 sommet219
220 0.576173 0.738959 sommet220
221 0.679332 0.536267 sommet221
222 0.035588 0.122507 sommet222
223 0.973356 0.188276 sommet223
224 0.351319 0.614126 sommet224
225 0.607611 0.125933 sommet225
226 0.552862 0.954028 sommet226
227 0.356925 0.838102 sommet227
228 0.974252 0.259014 sommet228
229 0.251528 0.424336 sommet229
230 0.813048 0.897914 sommet230
231 0.244586 0.760617 sommet231
232 0.694856 0.451851 sommet232
233 0.263620 0.665503 sommet233
234 0.116571 0.209562 sommet234
235 0.113676 0.546975 sommet235
236 0.006079 0.175974 sommet236
237 0.599359 0.431908 sommet237
238 0.082507 0.687414 sommet238
239 0.375310 0.836207 sommet239
240 0.123637 0.973346 sommet240
241 0.029635 0.080353 sommet241
242 0.494245 0.769437 sommet242
243 0.934030 0.250155 sommet243
244 0.359658 0.769114 sommet244
245 0.499955 0.749252 sommet245
246 0.671903 0.681666 sommet246
247 0.756770 0.036368 sommet247
248 0.230572 0.221667 sommet248
249 0.562602 0.652622 sommet249
250 0.616610 0.371466 sommet250
251 0.224801 0.233691 sommet251
252 0.653012 0.165928 sommet252
253 0.744104 0.159758 sommet253
254 0.047639 0.661994 sommet254
255 0.124945 0.949157 sommet255
256 0.484180 0.621046 sommet256
257 0.914025 0.017945 sommet257
258 0.593546 0.721872 sommet258
259 0.496582 0.053694 sommet259
260 0.441633 0.519175 sommet260
261 0.771944 0.065356 sommet261
262 0.442790 0.977180 sommet262
263 0.467741 0.329056 sommet263
264 0.445930 0.743274 sommet264
265 0.205341 0.171379 sommet265
266 0.372520 0.939725 sommet266
267 0.964851 0.254957 sommet267
268 0.070335 0.123849 sommet268
269 0.526338 0.160083 sommet269
270 0.517707 0.105185 sommet270
271 0.841576 0.368562 sommet271
272 0.423890 0.327228 sommet272
273 0.713547 0.576776 sommet273
274 0.871884 0.758246 sommet274
275 0.836598 0.699791 sommet275
276 0.389060 0.935242 sommet276
277 0.605603 0.362084 sommet277
278 0.539505 0.455072 sommet278
279 0.401692 0.240440 sommet279
280 0.083086 0.421579 sommet280
281 0.472380 0.289766 sommet281
282 0.104969 0.216386 sommet282
283 0.802019 0.527439 sommet283
284 0.668820 0.863643 sommet284
285 0.243750 0.711564 sommet285
286 0.263663 0.382822 sommet286
287 0.081006 0.459763 sommet287
288 0.232867 0.795353 sommet288
289 0.491343 0.003229 sommet289
290 0.266119 0.664689 sommet290
291 0.425191 0.186825 sommet291
292 0.963476 0.134039 sommet292
293 0.795856 0.946045 sommet293
294 0.171155 0.606001 sommet294
295 0.063804 0.347492 sommet295
296 0.292468 0.509658 sommet296
297 0.825837 0.834338 sommet297
298 0.726443 0.329434 sommet298
299 0.802084 0.631763 sommet299
300 0.045341 0.041420 sommet300
301 0.153315 0.767065 sommet301
302 0.061731 0.519303 sommet302
303 0.929150 0.220516 sommet303
304 0.204563 0.088993 sommet304
305 0.699691 0.706461 sommet305
306 0.494631 0.261779 sommet306
307 0.711571 0.378366 sommet307
308 0.200645 0.232608 sommet308
309 0.436096 0.469498 sommet309
310 0.861187 0.977238 sommet310
311 0.444519 0.034243 sommet311
312 0.523772 0.031639 sommet312
313 0.753174 0.591588 sommet313
314 0.822891 0.329579 sommet314
315 0.232078 0.536528 sommet315
316 0.430618 0.403581 sommet316
317 0.987325 0.966910 sommet317
318 0.850531 0.867514 sommet318
319 0.311605 0.148390 sommet319
320 0.997599 0.639523 sommet320
321 0.468075 0.931915 sommet321
322 0.690773 0.815407 sommet322
323 0.541535 0.572807 sommet323
324 0.159216 0.945250 sommet324
325 0.821334 0.155414 sommet325
326 0.041075 0.343613 sommet326
327 0.110019 0.096538 sommet327
328 0.518773 0.022405 sommet328
329 0.561484 0.856876 sommet329
330 0.516908 0.674525 sommet330
331 0.737175 0.698460 sommet331
332 0.022800 0.191984 sommet332
333 0.670991 0.345872 sommet333
334 0.066290 0.140710 sommet334
335 0.921117 0.221656 sommet335
336 0.380115 0.586016 sommet336
337 0.167313 0.026340 sommet337
338 0.691126 0.762344 sommet338
339 0.713695 0.077324 sommet339
340 0.589809 0.925503 sommet340
341 0.929698 0.430446 sommet341
342 0.505970 0.831256 sommet342
343 0.919236 0.601638 sommet343
344 0.723836 0.519337 sommet344
345 0.490817 0.161419 sommet345
346 0.976116 0.574360 sommet346
347 0.273251 0.531427 sommet347
348 0.698558 0.667049 sommet348
349 0.097433 0.548736 sommet349
350 0.610738 0.667965 sommet350
351 0.495125 0.571583 sommet351
352 0.588888 0.441313 sommet352
353 0.151217 0.502275 sommet353
354 0.731364 0.031657 sommet354
355 0.051617 0.522063 sommet355
356 0.320642 0.035060 sommet356
357 0.245142 0.107181 sommet357
358 0.382969 0.551829 sommet358
359 0.597169 0.611111 sommet359
360 0.935252 0.772030 sommet360
361 0.513148 0.486681 sommet361
362 0.650128 0.696996 sommet362
363 0.407538 0.486850 sommet363
364 0.479783 0.710450 sommet364
365 0.534199 0.276647 sommet365
366 0.605538 0.280104 sommet366
367 0.703369 0.530490 sommet367
368 0.938254 0.235403 sommet368
369 0.413494 0.597476 sommet369
370 0.783002 0.920252 sommet370
371 0.681491 0.821177 sommet371
372 0.527413 0.230270 sommet372
373 0.143684 0.899521 sommet373
374 0.251422 0.651515 sommet374
375 0.004816 0.935936 sommet375
376 0.275353 0.858766 sommet376
377 0.278929 0.952431 sommet377
378 0.506820 0.122950 sommet378
379 0.416475 0.702471 sommet379
380 0.436491 0.107739 sommet380
381 0.766175 0.099866 sommet381
382 0.441265 0.344576 sommet382
383 0.297064 0.757621 sommet383
384 0.338510 0.330758 sommet384
385 0.055606 0.573183 sommet385
386 0.485286 0.202482 sommet386
387 0.114475 0.974348 sommet387
388 0.864609 0.491841 sommet388
389 0.367395 0.804912 sommet389
390 0.162204 0.159580 sommet390
391 0.057723 0.149251 sommet391
392 0.468101 0.380608 sommet392
393 0.883705 0.424134 sommet393
394 0.412248 0.651295 sommet394
395 0.308327 0.060142 sommet395
396 0.814416 0.897657 sommet396
397 0.919492 0.901218 sommet397
398 0.770046 0.170796 sommet398
399 0.572442 0.031404 sommet399
400 0.803268 0.522215 sommet400
401 0.861622 0.277198 sommet401
402 0.869494 0.586862 sommet402
403 0.389172 0.811895 sommet403
404 0.525670 0.939871 sommet404
405 0.420038 0.579863 sommet405
406 0.749145 0.880784 sommet406
407 0.338085 0.189549 sommet407
408 0.743126 0.718919 sommet408
409 0.879162 0.072869 sommet409
410 0.710114 0.879060 sommet410
411 0.359379 0.089853 sommet411
412 0.161029 0.416796 sommet412
413 0.096429 0.674693 sommet413
414 0.562612 0.813047 sommet414
415 0.878192 0.769360 sommet415
416 0.635205 0.896524 sommet416
417 0.878413 0.486471 sommet417
418 0.113071 0.377485 sommet418
419 0.382620 0.687578 sommet419
420 0.121740 0.076822 sommet420
421 0.143302 0.477641 sommet421
422 0.708588 0.238019 sommet422
423 0.390967 0.975881 sommet423
424 0.628767 0.681199 sommet424
425 0.908691 0.362400 sommet425
426 0.859213 0.794278 sommet426
427 0.428873 0.073511 sommet427
428 0.498631 0.483873 sommet428
429 0.450735 0.499657 sommet429
430 0.740759 0.932843 sommet430
431 0.300122 0.146196 sommet431
432 0.110018 0.080322 sommet432
433 0.972476 0.408177 sommet433
434 0.238410 0.963160 sommet434
435 0.833474 0.198080 sommet435
436 0.129482 0.196307 sommet436
437 0.339119 0.575679 sommet437
438 0.440268 0.585675 sommet438
439 0.432877 0.368203 sommet439
440 0.382317 0.600133 sommet440
441 0.429473 0.148787 sommet441
442 0.670197 0.995401 sommet442
443 0.698066 0.402740 sommet443
444 0.849278 0.819527 sommet444
445 0.793382 0.374249 sommet445
446 0.009608 0.479779 sommet446
447 0.639058 0.646495 sommet447
448 0.644898 0.799035 sommet448
449 0.377364 0.357672 sommet449
450 0.389500 0.334307 sommet450
451 0.693589 0.144897 sommet451
452 0.291525 0.666856 sommet452
453 0.854365 0.314699 sommet453
454 0.144142 0.602249 sommet454
455 0.005588 0.920830 sommet455
456 0.381955 0.516531 sommet456
457 0.344456 0.264133 sommet457
458 0.291000 0.833648 sommet458
459 0.124391 0.634619 sommet459
460 0.048697 0.458046 sommet460
461 0.376817 0.155873 sommet461
462 0.755856 0.665973 sommet462
463 0.011531 0.794881 sommet463
464 0.560914 0.288654 sommet464
465 0.415560 0.320611 sommet465
466 0.514590 0.719155 sommet466
467 0.842044 0.231895 sommet467
468 0.465007 0.373359 sommet468
469 0.050043 0.073850 sommet469
470 0.202449 0.566183 sommet470
471 0.831524 0.422552 sommet471
472 0.839549 0.293043 sommet472
473 0.181196 0.357526 sommet473
474 0.934110 0.589419 sommet474
475 0.369040 0.463059 sommet475
476 0.627830 0.944452 sommet476
477 0.405786 0.050482 sommet477
478 0.444850 0.595927 sommet478
479 0.748311 0.864172 sommet479
480 0.131023 0.104579 sommet480
481 0.665308 0.833378 sommet481
482 0.581285 0.658594 sommet482
483 0.982032 0.018916 sommet483
484 0.921473 0.194679 sommet484
485 0.967723 0.523072 sommet485
486 0.278796 0.719795 sommet486
487 0.590459 0.837082 sommet487
488 0.834691 0.659888 sommet488
489 0.730448 0.643027 sommet489
490 0.349529 0.534876 sommet490
491 0.664147 0.323429 sommet491
492 0.869188 0.442370 sommet492
493 0.917967 0.276668 sommet493
494 0.951753 0.117238 sommet494
495 0.416007 0.836375 sommet495
496 0.962535 0.332928 sommet496
497 0.526182 0.535956 sommet497
498 0.818107 0.929890 sommet498
499 0.662893 0.243229 sommet499
500 0.941429 0.596723 sommet500
501 0.126034 0.246974 sommet501
502 0.886726 0.196178 sommet502
503 0.162958 0.835997 sommet503
504 0.602405 0.623243 sommet504
505 0.838679 0.671648 sommet505
506 0.391555 0.871284 sommet506
507 0.667348 0.115607 sommet507
508 0.000040 0.676065 sommet508
509 0.628753 0.454547 sommet509
510 0.574346 0.032269 sommet510
511 0.351393 0.855082 sommet511
512 0.370837 0.661425 sommet512
513 0.576430 0.059960 sommet513
514 0.744468 0.279493 sommet514
515 0.442624 0.176420 sommet515
516 0.091801 0.897245 sommet516
517 0.992419 0.594159 sommet517
518 0.033004 0.690932 sommet518
519 0.487212 0.569340 sommet519
520 0.895724 0.434503 sommet520
521 0.688594 0.203158 sommet521
522 0.481720 0.272443 sommet522
523 0.947120 0.244300 sommet523
524 0.953262 0.476952 sommet524
525 0.127088 0.961436 sommet525
526 0.857156 0.217410 sommet526
527 0.007008 0.782475 sommet527
528 0.050393 0.960055 sommet528
529 0.641374 0.573400 sommet529
530 0.137093 0.129043 sommet530
531 0.824627 0.501854 sommet531
532 0.655888 0.505059 sommet532
533 0.526454 0.118397 sommet533
534 0.903056 0.668904 sommet534
535 0.277586 0.386707 sommet535
536 0.391493 0.831097 sommet536
537 0.243001 0.123444 sommet537
538 0.728307 0.648075 sommet538
539 0.201217 0.848695 sommet539
540 0.022556 0.105562 sommet540
541 0.187979 0.360967 sommet541
542 0.779658 0.719204 sommet542
543 0.666364 0.580969 sommet543
544 0.351173 0.157154 sommet544
545 0.292091 0.169110 sommet545
546 0.223697 0.671352 sommet546
547 0.404765 0.886510 sommet547
548 0.579362 0.341848 sommet548
549 0.437240 0.699639 sommet549
550 0.834283 0.791982 sommet550
551 0.849068 0.282220 sommet551
552 0.264662 0.169961 sommet552
553 0.533532 0.073184 sommet553
554 0.998736 0.750171 sommet554
555 0.122221 0.164600 sommet555
556 0.425107 0.773202 sommet556
557 0.213568 0.433928 sommet557
558 0.033077 0.929321 sommet558
559 0.106043 0.266287 sommet559
560 0.482049 0.792780 sommet560
561 0.257524 0.213916 sommet561
562 0.282464 0.380628 sommet562
563 0.208123 0.928528 sommet563
564 0.764064 0.616563 sommet564
565 0.575853 0.356334 sommet565
566 0.907848 0.197901 sommet566
567 0.114107 0.791140 sommet567
568 0.698163 0.018251 sommet568
569 0.747969 0.114529 sommet569
570 0.894964 0.654629 sommet570
571 0.345891 0.382413 sommet571
572 0.215049 0.331292 sommet572
573 0.017785 0.914368 sommet573
574 0.785470 0.393451 sommet574
575 0.729983 0.831551 sommet575
576 0.877797 0.129609 sommet576
577 0.343425 0.942070 sommet577
578 0.362191 0.352060 sommet578
579 0.080655 0.571891 sommet579
580 0.776393 0.844201 sommet580
581 0.493295 0.817317 sommet581
582 0.642734 0.435375 sommet582
583 0.352314 0.349157 sommet583
584 0.281545 0.919119 sommet584
585 0.626152 0.744580 sommet585
586 0.157540 0.776418 sommet586
587 0.251955 0.612058 sommet587
588 0.854603 0.314608 sommet588
589 0.608444 0.125922 sommet589
590 0.373662 0.133293 sommet590
591 0.261863 0.126031 sommet591
592 0.202817 0.750525 sommet592
593 0.070950 0.458914 sommet593
594 0.963244 0.234676 sommet594
595 0.197518 0.683946 sommet595
596 0.081326 0.854236 sommet596
597 0.152563 0.120177 sommet597
598 0.809124 0.944193 sommet598
599 0.045520 0.060262 sommet599
600 0.829722 0.141179 sommet600
601 0.801168 0.227488 sommet601
602 0.399215 0.599194 sommet602
603 0.655206 0.053727 sommet603
604 0.986364 0.812305 sommet604
605 0.413580 0.031838 sommet605
606 0.108049 0.974467 sommet606
607 0.867119 0.671080 sommet607
608 0.834369 0.238217 sommet608
609 0.716939 0.589708 sommet609
610 0.222540 0.227762 sommet610
611 0.001574 0.447814 sommet611
612 0.409766 0.933005 sommet612
613 0.022462 0.513499 sommet613
614 0.376501 0.859511 sommet614
615 0.793872 0.609468 sommet615
616 0.331804 0.624005 sommet616
617 0.653873 0.644390 sommet617
618 0.259120 0.026000 sommet618
619 0.987042 0.207749 sommet619
620 0.642325 0.560325 sommet620
621 0.376933 0.120691 sommet621
622 0.449107 0.137716 sommet622
623 0.585800 0.542600 sommet623
624 0.483601 0.886600 sommet624
625 0.081595 0.362593 sommet625
626 0.100809 0.299211 sommet626
627 0.841668 0.913002 sommet627
628 0.827927 0.970299 sommet628
629 0.813280 0.797872 sommet629
630 0.839796 0.448720 sommet630
631 0.642095 0.693926 sommet631
632 0.815759 0.468209 sommet632
633 0.193634 0.401555 sommet633
634 0.930652 0.467209 sommet634
635 0.378445 0.517596 sommet635
636 0.227756 0.899267 sommet636
637 0.985847 0.136994 sommet637
638 0.458481 0.689134 sommet638
639 0.279015 0.409278 sommet639
640 0.739932 0.031255 sommet640
641 0.303932 0.192647 sommet641
642 0.813189 0.274869 sommet642
643 0.717761 0.408626 sommet643
644 0.785073 0.722293 sommet644
645 0.577059 0.632939 sommet645
646 0.798596 0.000275 sommet646
647 0.627795 0.346431 sommet647
648 0.471857 0.492207 sommet648
649 0.529620 0.318549 sommet649
650 0.857925 0.138002 sommet650
651 0.399142 0.386913 sommet651
652 0.846436 0.056135 sommet652
653 0.456879 0.765532 sommet653
654 0.292495 0.961921 sommet654
655 1.000000 0.999092 sommet655
656 0.741617 0.349783 sommet656
657 0.796585 0.199000 sommet657
658 0.600734 0.542825 sommet658
659 0.251693 0.201617 sommet659
660 0.575624 0.513759 sommet660
661 0.747701 0.608020 sommet661
662 0.989635 0.798450 sommet662
663 0.554778 0.146671 sommet663
664 0.107010 0.523785 sommet664
665 0.246300 0.571627 sommet665
666 0.334365 0.678709 sommet666
667 0.069367 0.844641 sommet667
668 0.876262 0.332073 sommet668
669 0.145400 0.744075 sommet669
670 0.661891 0.402784 sommet670
671 0.585027 0.555453 sommet671
672 0.494116 0.614501 sommet672
673 0.924830 0.613926 sommet673
674 0.256384 0.039663 sommet674
675 0.620714 0.343489 sommet675
676 0.024167 0.171394 sommet676
677 0.610723 0.423845 sommet677
678 0.568438 0.730373 sommet678
679 0.373973 0.365644 sommet679
680 0.376277 0.086606 sommet680
681 0.583115 0.418166 sommet681
682 0.110807 0.325262 sommet682
683 0.685165 0.563984 sommet683
684 0.871871 0.531860 sommet684
685 0.974538 0.060241 sommet685
686 0.475344 0.110132 sommet686
687 0.992179 0.549515 sommet687
688 0.698705 0.127237 sommet688
689 0.474984 0.059347 sommet689
690 0.445107 0.917977 sommet690
691 0.439511 0.858511 sommet691
692 0.997177 0.549302 sommet692
693 0.124284 0.846325 sommet693
694 0.190258 0.664346 sommet694
695 0.656273 0.973193 sommet695
696 0.457616 0.159347 sommet696
697 0.139185 0.283333 sommet697
698 0.972964 0.597956 sommet698
699 0.852208 0.062886 sommet699
700 0.925623 0.949394 sommet700
701 0.466668 0.282231 sommet701
702 0.460251 0.430824 sommet702
703 0.866139 0.198631 sommet703
704 0.384766 0.759196 sommet704
705 0.814225 0.672739 sommet705
706 0.721585 0.683365 sommet706
707 0.313986 0.168483 sommet707
708 0.688042 0.920936 sommet708
709 0.165764 0.003818 sommet709
710 0.176306 0.178152 sommet710
711 0.198052 0.668274 sommet711
712 0.674452 0.517482 sommet712
713 0.323405 0.466967 sommet713
714 0.320824 0.093644 sommet714
715 0.870438 0.445121 sommet715
716 0.147775 0.652046 sommet716
717 0.941981 0.882350 sommet717
718 0.660927 0.203913 sommet718
719 0.170347 0.016075 sommet719
720 0.165414 0.109083 sommet720
721 0.361192 0.561133 sommet721
722 0.963839 0.245494 sommet722
723 0.023861 0.030040 sommet723
724 0.886172 0.886352 sommet724
725 0.913224 0.547401 sommet725
726 0.172576 0.487048 sommet726
727 0.814419 0.936609 sommet727
728 0.583064 0.548907 sommet728
729 0.471753 0.753337 sommet729
730 0.332312 0.172459 sommet730
731 0.512964 0.380426 sommet731
732 0.828165 0.967038 sommet732
733 0.004778 0.301390 sommet733
734 0.454566 0.890453 sommet734
735 0.843532 0.250356 sommet735
736 0.733911 0.839556 sommet736
737 0.422961 0.708479 sommet737
738 0.405874 0.526300 sommet738
739 0.525560 0.091534 sommet739
740 0.403688 0.782130 sommet740
741 0.264789 0.307859 sommet741
742 0.184968 0.756626 sommet742
743 0.620673 0.645346 sommet743
744 0.327313 0.154232 sommet744
745 0.184355 0.455199 sommet745
746 0.533180 0.162428 sommet746
747 0.925770 0.409058 sommet747
748 0.031187 0.167285 sommet748
749 0.565061 0.985431 sommet749
750 0.140259 0.333570 sommet750
751 0.309118 0.354326 sommet751
752 0.162868 0.322150 sommet752
753 0.379582 0.641376 sommet753
754 0.602311 0.037683 sommet754
755 0.335103 0.078214 sommet755
756 0.544029 0.491122 sommet756
757 0.287871 0.252718 sommet757
758 0.439320 0.658614 sommet758
759 0.325579 0.001664 sommet759
760 0.972696 0.100870 sommet760
761 0.318377 0.955516 sommet761
762 0.349269 0.165406 sommet762
763 0.985489 0.116442 sommet763
764 0.041885 0.960956 sommet764
765 0.785281 0.220390 sommet765
766 0.101461 0.254563 sommet766
767 0.437511 0.243011 sommet767
768 0.282594 0.549228 sommet768
769 0.882302 0.851649 sommet769
770 0.670468 0.557610 sommet770
771 0.757833 0.901996 sommet771
772 0.853380 0.759697 sommet772
773 0.233950 0.998290 sommet773
774 0.261283 0.375040 sommet774
775 0.299503 0.745522 sommet775
776 0.991835 0.766313 sommet776
777 0.428610 0.641665 sommet777
778 0.463801 0.102468 sommet778
779 0.181880 0.863361 sommet779
780 0.503358 0.930975 sommet780
781 0.898036 0.291166 sommet781
782 0.629141 0.975400 sommet782
783 0.544049 0.830669 sommet783
784 0.054810 0.189622 sommet784
785 0.975294 0.765209 sommet785
786 0.869878 0.032339 sommet786
787 0.518437 0.375437 sommet787
788 0.969667 0.193147 sommet788
789 0.228571 0.596947 sommet789
790 0.896504 0.549478 sommet790
791 0.084773 0.776984 sommet791
792 0.771090 0.708398 sommet792
793 0.051936 0.883565 sommet793
794 0.071637 0.994661 sommet794
795 0.269917 0.499773 sommet795
796 0.687318 0.748435 sommet796
797 0.944647 0.689707 sommet797
798 0.911773 0.171227 sommet798
799 0.815332 0.282828 sommet799
800 0.481877 0.910853 sommet800
801 0.703183 0.399308 sommet801
802 0.168436 0.902494 sommet802
803 0.210064 0.548365 sommet803
804 0.372777 0.263153 sommet804
805 0.806702 0.235834 sommet805
806 0.658912 0.335606 sommet806
807 0.522131 0.452883 sommet807
808 0.606870 0.667104 sommet808
809 0.021766 0.819205 sommet809
810 0.377316 0.541796 sommet810
811 0.969700 0.746284 sommet811
812 0.793286 0.758699 sommet812
813 0.453228 0.406750 sommet813
814 0.244226 0.702280 sommet814
815 0.213819 0.661177 sommet815
816 0.407049 0.276393 sommet816
817 0.343149 0.301463 sommet817
818 0.688401 0.954292 sommet818
819 0.778182 0.902304 sommet819
820 0.021656 0.974240 sommet820
